Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2017-06-19,7483.55,7489.7,7417.6,7426.5,140150858.0,14874600000.0,NIFTY SMLCAP 100
2017-06-20,7440.95,7464.15,7424.0,7440.2,139935266.0,18295800000.0,NIFTY SMLCAP 100
2017-06-21,7438.3,7475.9,7431.55,7448.85,197393702.0,18932000000.0,NIFTY SMLCAP 100
2017-06-22,7481.2,7507.8,7387.8,7405.55,360706521.0,20876200000.0,NIFTY SMLCAP 100
2017-06-23,7421.15,7431.95,7241.95,7291.3,389662334.0,22001700000.0,NIFTY SMLCAP 100
2017-06-27,7328.9,7353.25,7153.55,7190.55,455169377.0,21813400000.0,NIFTY SMLCAP 100
2017-06-28,7182.65,7252.8,7137.9,7222.7,352078062.0,22019400000.0,NIFTY SMLCAP 100
2017-06-29,7254.3,7318.8,7253.95,7298.5,419042533.0,23468000000.0,NIFTY SMLCAP 100
2017-06-30,7275.25,7319.4,7221.2,7311.05,353216748.0,23073700000.0,NIFTY SMLCAP 100
2017-07-03,7348.0,7395.45,7334.7,7391.4,253972531.0,20886800000.0,NIFTY SMLCAP 100
2017-07-04,7410.1,7434.05,7351.7,7368.05,326217524.0,19593600000.0,NIFTY SMLCAP 100
2017-07-05,7388.4,7472.75,7383.05,7467.15,295214719.0,23083800000.0,NIFTY SMLCAP 100
2017-07-06,7492.3,7540.65,7486.4,7497.65,288128871.0,23723900000.0,NIFTY SMLCAP 100
2017-07-07,7496.0,7547.3,7476.95,7536.75,460343930.0,20680900000.0,NIFTY SMLCAP 100
2017-07-10,7588.05,7609.7,7537.1,7592.5,91716405.0,4588900000.0,NIFTY SMLCAP 100
2017-07-11,7630.15,7636.45,7517.65,7529.4,247558765.0,19314800000.0,NIFTY SMLCAP 100
2017-07-12,7561.55,7607.85,7537.8,7601.1,257793302.0,22484500000.0,NIFTY SMLCAP 100
2017-07-13,7644.7,7664.5,7599.55,7610.4,207855489.0,22867100000.0,NIFTY SMLCAP 100
2017-07-14,7633.6,7638.0,7532.35,7582.85,215008198.0,18835300000.0,NIFTY SMLCAP 100
2017-07-17,7597.75,7646.15,7565.05,7625.1,473853043.0,22692300000.0,NIFTY SMLCAP 100
2017-07-18,7597.1,7650.9,7572.65,7579.85,267683583.0,19674300000.0,NIFTY SMLCAP 100
2017-07-19,7613.25,7695.85,7612.0,7689.55,387637209.0,25393200000.0,NIFTY SMLCAP 100
2017-07-20,7716.85,7735.6,7694.45,7711.95,281063085.0,28022399999.999996,NIFTY SMLCAP 100
2017-07-21,7748.4,7793.0,7690.7,7753.5,515800129.0,35287700000.0,NIFTY SMLCAP 100
2017-07-24,7782.65,7836.5,7777.9,7793.9,604959841.0,37187900000.0,NIFTY SMLCAP 100
2017-07-25,7825.55,7834.2,7779.25,7802.6,405655172.0,26722000000.0,NIFTY SMLCAP 100
2017-07-26,7819.8,7893.75,7818.15,7840.05,623651373.0,39614800000.0,NIFTY SMLCAP 100
2017-07-27,7864.6,7886.8,7742.5,7754.05,370627562.0,31289899999.999996,NIFTY SMLCAP 100
2017-07-28,7726.75,7815.3,7700.75,7803.3,360713629.0,26856700000.0,NIFTY SMLCAP 100
2017-07-31,7813.05,7832.35,7793.15,7800.75,253319775.0,25386700000.0,NIFTY SMLCAP 100
2017-08-01,7831.05,7840.35,7762.95,7771.95,227529381.0,22024699999.999996,NIFTY SMLCAP 100
2017-08-02,7788.25,7821.3,7727.95,7744.2,337969856.0,27078200000.0,NIFTY SMLCAP 100
2017-08-03,7748.7,7752.4,7647.95,7663.3,399384228.0,25160900000.0,NIFTY SMLCAP 100
2017-08-04,7654.25,7683.6,7620.55,7669.4,324693976.0,26908400000.0,NIFTY SMLCAP 100
2017-08-07,7701.4,7796.65,7696.55,7786.0,373476176.0,28038900000.0,NIFTY SMLCAP 100
2017-08-08,7813.75,7823.45,7625.3,7652.6,415620980.0,32194899999.999996,NIFTY SMLCAP 100
2017-08-09,7619.5,7634.15,7484.7,7516.2,511162664.0,33691600000.0,NIFTY SMLCAP 100
2017-08-10,7475.05,7483.5,7094.25,7169.0,372609961.0,28498200000.0,NIFTY SMLCAP 100
2017-08-11,7029.8,7227.05,6938.5,7166.25,449766861.0,29466600000.0,NIFTY SMLCAP 100
2017-08-14,7245.55,7378.5,7245.55,7368.7,307721618.0,24909699999.999996,NIFTY SMLCAP 100
2017-08-16,7407.75,7497.65,7351.9,7491.65,291155840.0,24424300000.0,NIFTY SMLCAP 100
2017-08-17,7518.35,7600.5,7513.95,7551.5,224292291.0,28715400000.0,NIFTY SMLCAP 100
2017-08-18,7497.1,7535.35,7447.75,7519.65,211345063.0,26692700000.0,NIFTY SMLCAP 100
2017-08-21,7544.35,7575.0,7398.9,7408.75,192622661.0,21337100000.0,NIFTY SMLCAP 100
2017-08-22,7456.65,7496.85,7340.3,7366.25,232893636.0,21929600000.0,NIFTY SMLCAP 100
2017-08-23,7419.65,7476.7,7418.0,7468.15,224619206.0,22303800000.0,NIFTY SMLCAP 100
2017-08-24,7492.55,7539.25,7482.75,7515.5,285864220.0,21131800000.0,NIFTY SMLCAP 100
2017-08-28,7563.8,7626.55,7556.75,7620.75,217324582.0,18658700000.0,NIFTY SMLCAP 100
2017-08-29,7590.8,7622.65,7514.2,7522.35,258521962.0,22784300000.0,NIFTY SMLCAP 100
2017-08-30,7584.65,7661.05,7584.4,7655.85,324130513.0,27840300000.000004,NIFTY SMLCAP 100
2017-08-31,7690.4,7755.9,7664.75,7748.45,313405911.0,35874600000.0,NIFTY SMLCAP 100
2017-09-01,7778.65,7843.85,7776.25,7832.5,330674098.0,30245000000.0,NIFTY SMLCAP 100
2017-09-04,7832.55,7856.2,7670.5,7787.85,341561237.0,27733400000.0,NIFTY SMLCAP 100
2017-09-05,7818.9,7886.0,7806.4,7873.9,260501815.0,26673900000.0,NIFTY SMLCAP 100
2017-09-06,7829.55,7918.5,7797.5,7903.8,333929576.0,28500400000.0,NIFTY SMLCAP 100
2017-09-07,7960.2,7984.5,7916.55,7932.1,284212986.0,27433900000.0,NIFTY SMLCAP 100
2017-09-08,7966.55,7975.65,7856.2,7876.75,279166091.0,23993500000.0,NIFTY SMLCAP 100
2017-09-11,7936.2,7951.0,7910.35,7919.05,312032661.0,22926100000.0,NIFTY SMLCAP 100
2017-09-12,7967.05,8011.15,7959.15,8002.25,302400189.0,25629600000.0,NIFTY SMLCAP 100
2017-09-13,8008.65,8040.65,7915.25,7934.05,265346388.0,24307900000.0,NIFTY SMLCAP 100
2017-09-14,7963.85,8006.7,7925.4,7962.55,239324953.0,20233600000.0,NIFTY SMLCAP 100
2017-09-15,7933.2,7960.7,7887.95,7934.6,349519049.0,27095700000.0,NIFTY SMLCAP 100
2017-09-18,7992.65,8057.95,7991.85,8031.65,309955186.0,26164300000.0,NIFTY SMLCAP 100
2017-09-19,8053.5,8086.9,7993.55,8049.35,438128687.0,30187100000.0,NIFTY SMLCAP 100
2017-09-20,8081.05,8092.95,8001.35,8012.75,299643924.0,23078800000.0,NIFTY SMLCAP 100
2017-09-21,8020.3,8038.1,7864.35,7958.15,277399800.0,22435000000.0,NIFTY SMLCAP 100
2017-09-22,7925.05,7925.25,7690.75,7708.0,259102399.0,22714400000.0,NIFTY SMLCAP 100
2017-09-25,7716.9,7726.15,7359.25,7527.9,347699958.0,25781800000.0,NIFTY SMLCAP 100
2017-09-26,7535.05,7619.9,7518.45,7583.9,283537211.0,21610600000.0,NIFTY SMLCAP 100
2017-09-27,7639.75,7665.95,7384.9,7407.55,256931100.0,19033500000.0,NIFTY SMLCAP 100
2017-09-28,7436.35,7499.3,7378.55,7480.55,328038398.0,22395400000.0,NIFTY SMLCAP 100
2017-09-29,7535.4,7636.9,7534.75,7584.5,285873201.0,18004800000.0,NIFTY SMLCAP 100
2017-10-03,7668.4,7678.75,7608.8,7630.85,189048770.0,16098300000.0,NIFTY SMLCAP 100
2017-10-04,7668.4,7701.4,7630.95,7689.75,216522888.0,17923000000.0,NIFTY SMLCAP 100
2017-10-05,7710.1,7775.45,7708.85,7765.25,211135387.0,19197600000.0,NIFTY SMLCAP 100
2017-10-06,7802.6,7873.85,7798.9,7869.2,251041525.0,21221900000.0,NIFTY SMLCAP 100
2017-10-09,7883.1,7916.1,7849.05,7894.45,355391911.0,27762300000.0,NIFTY SMLCAP 100
2017-10-10,7915.15,7964.3,7906.55,7958.35,229816818.0,20164800000.0,NIFTY SMLCAP 100
2017-10-11,7993.25,8010.45,7796.9,7847.65,228417160.0,22038900000.0,NIFTY SMLCAP 100
2017-10-12,7902.55,7942.6,7858.35,7940.3,199290774.0,19293600000.0,NIFTY SMLCAP 100
2017-10-13,7967.65,8031.85,7959.6,7988.85,268291843.0,21523000000.0,NIFTY SMLCAP 100
2017-10-16,8023.45,8047.6,7964.75,8009.95,193997415.0,19602900000.0,NIFTY SMLCAP 100
2017-10-17,8023.6,8083.3,7999.9,8066.7,,,NIFTY SMLCAP 100
2017-10-18,8069.35,8094.05,8045.4,8079.3,164701100.0,18889900000.0,NIFTY SMLCAP 100
2017-10-19,8107.75,8122.7,8041.2,8068.0,,,NIFTY SMLCAP 100
2017-10-23,8097.9,8129.3,8050.6,8081.7,184514718.0,18803000000.0,NIFTY SMLCAP 100
2017-10-24,8116.75,8197.55,8112.3,8177.45,234602507.0,24685400000.0,NIFTY SMLCAP 100
2017-10-25,8325.7,8351.7,8216.15,8306.85,505218459.0,36112000000.0,NIFTY SMLCAP 100
2017-10-26,8321.5,8388.45,8289.8,8353.6,406926824.0,31332000000.0,NIFTY SMLCAP 100
2017-10-27,8404.7,8427.0,8356.2,8372.2,250024469.0,25706200000.0,NIFTY SMLCAP 100
2017-10-30,8414.65,8514.6,8413.4,8507.85,258028513.0,28602199999.999996,NIFTY SMLCAP 100
2017-10-31,8512.9,8562.9,8480.5,8549.65,237997283.0,26350800000.0,NIFTY SMLCAP 100
2017-11-01,8616.5,8660.65,8589.15,8598.5,311085878.0,30884000000.0,NIFTY SMLCAP 100
2017-11-02,8636.4,8706.9,8610.55,8662.2,284396373.0,30364500000.0,NIFTY SMLCAP 100
2017-11-03,8699.15,8728.35,8652.15,8697.7,298841349.0,30217199999.999996,NIFTY SMLCAP 100
2017-11-06,8695.3,8757.05,8684.85,8709.85,224631821.0,28689200000.0,NIFTY SMLCAP 100
2017-11-07,8768.3,8781.7,8521.55,8558.75,280648124.0,31918900000.0,NIFTY SMLCAP 100
2017-11-08,8578.65,8605.9,8411.9,8466.85,245532786.0,30040800000.0,NIFTY SMLCAP 100
2017-11-09,8541.25,8588.45,8443.0,8536.5,218153984.0,28519000000.0,NIFTY SMLCAP 100
2017-11-10,8553.0,8612.75,8491.85,8559.4,299998737.0,44794200000.0,NIFTY SMLCAP 100
2017-11-13,8592.6,8609.75,8492.4,8501.45,431629585.0,36605100000.0,NIFTY SMLCAP 100
2017-11-14,8522.1,8545.4,8430.1,8447.35,295064801.0,30400000000.0,NIFTY SMLCAP 100
2017-11-15,8448.4,8448.4,8246.8,8288.35,228437411.0,24134899999.999996,NIFTY SMLCAP 100
2017-11-16,8306.45,8362.0,8288.25,8354.4,231780409.0,23650200000.0,NIFTY SMLCAP 100
2017-11-17,8442.45,8500.15,8419.15,8430.45,248848328.0,29376500000.0,NIFTY SMLCAP 100
2017-11-20,8444.95,8492.4,8430.55,8475.7,205493775.0,27483000000.0,NIFTY SMLCAP 100
2017-11-21,8522.45,8551.25,8461.45,8494.4,169622372.0,28094300000.0,NIFTY SMLCAP 100
2017-11-22,8529.25,8559.95,8466.95,8538.45,298022641.0,30221000000.0,NIFTY SMLCAP 100
2017-11-23,8580.45,8631.2,8534.4,8611.15,265105289.0,30844100000.0,NIFTY SMLCAP 100
2017-11-24,8650.35,8677.55,8634.1,8643.65,208033705.0,24769300000.0,NIFTY SMLCAP 100
2017-11-27,8644.6,8701.4,8618.95,8696.35,159977497.0,24203900000.0,NIFTY SMLCAP 100
2017-11-28,8738.1,8782.45,8707.8,8746.0,203358777.0,31031700000.0,NIFTY SMLCAP 100
2017-11-29,8771.5,8789.3,8689.3,8706.6,182031649.0,29055000000.0,NIFTY SMLCAP 100
2017-11-30,8681.05,8735.05,8612.65,8712.45,244297198.0,34453500000.0,NIFTY SMLCAP 100
2017-12-01,8765.9,8823.3,8560.75,8577.05,195073975.0,23787500000.0,NIFTY SMLCAP 100
2017-12-04,8622.9,8658.3,8485.45,8513.75,154569474.0,18692100000.0,NIFTY SMLCAP 100
